dataset,fastme,mh,gap,time_min,K,lifted_tri,weak_bun,contraction,iterated
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,15,5,true,true,true,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,60,5,true,true,true,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,5,5,true,true,true,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,15,5,true,true,true,false
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,60,5,true,true,true,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,5,5,true,true,true,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,15,5,true,true,true,false
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,60,5,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.3457457611805084,0.0002152829431077951,5,10,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.345740571224375,0.00021749496408216443,15,10,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.345740571224375,0.00021749496408216443,60,10,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,5,20,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.34570316948805,0.00023343602853505125,15,20,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.34570316948805,0.00023343602853505125,60,20,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,5,30,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,15,30,true,true,true,false
04-SeedPlants500.txt,2.34625086897285,2.34625086897285,0.0,60,30,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,10,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,10,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,10,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,20,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,20,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,20,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,15,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,15,true,true,true,false
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,15,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,10,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,10,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,10,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,20,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,20,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,20,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,30,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,30,true,true,true,false
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,30,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,10,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,10,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,10,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,20,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,20,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,20,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,15,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,15,true,true,true,false
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,15,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,10,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,10,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,10,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,5,20,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,15,20,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,60,20,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,5,30,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,15,30,true,true,true,false
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,60,30,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,10,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,10,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,10,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,20,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,20,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,20,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,5,30,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,15,30,true,true,true,false
09-M82.txt,0.32700905010645887,0.32700905010645887,0.0,60,30,true,true,true,false
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,5,5,false,false,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,15,5,false,false,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,60,5,false,false,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,5,5,false,false,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,15,5,false,false,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,60,5,false,false,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,5,5,false,false,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,15,5,false,false,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,60,5,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.3460443326358154,8.802824104019664e-5,5,10,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.3460443326358154,8.802824104019664e-5,15,10,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.3460443326358154,8.802824104019664e-5,60,10,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.3452392048830517,0.00043118325630764646,5,20,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.3446051490925717,0.0007014253684640572,15,20,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.3446051490925717,0.0007014253684640572,60,20,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.345095082632993,0.0004926098718348083,5,30,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.343525787694234,0.0011614620220936323,15,30,false,false,true,true
04-SeedPlants500.txt,2.34625086897285,2.343489213782327,0.0011770502579428726,60,30,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,10,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,10,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,10,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,20,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,20,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,20,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,15,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,15,false,false,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,15,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,10,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,10,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,10,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,20,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,20,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,20,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,30,false,false,true,true
